Line#,Date,"Water Content (RXW-GP4 21474793:21124508-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-11), *C, Soap","Water Content (RXW-GP4 21474793:21124508-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-10), *C, Soap","Temperature (RXW-GP4 21474793:21124508-6), *C, Soap","Water Content (RXW-GP4 21474793:21124508-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-8), *C, Soap","Water Content (RXW-GP4 21474793:21124508-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124508-7), *C, Soap","Temperature (RXW-GP4 21474793:21124508-5), *C, Soap","Temperature (RXW-GP4 21474793:21124508-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-9), *C, Soap","Water Content (RXW-GP4 21474793:21124505-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-10), *C, Soap","Temperature (RXW-GP4 21474793:21124505-5), *C, Soap","Temperature (RXW-GP4 21474793:21124505-11), *C, Soap","Temperature (RXW-GP4 21474793:21124505-6), *C, Soap","Water Content (RXW-GP4 21474793:21124505-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124505-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124505-7), *C, Soap","Temperature (RXW-GP4 21474793:21124505-8), *C, Soap","Temperature (RXW-GP4 21474793:21124502-6), *C, Soap","Temperature (RXW-GP4 21474793:21124502-10), *C, Soap","Temperature (RXW-GP4 21474793:21124502-9), *C, Soap","Water Content (RXW-GP4 21474793:21124502-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-7), *C, Soap","Water Content (RXW-GP4 21474793:21124502-2), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-11), *C, Soap","Water Content (RXW-GP4 21474793:21124502-4), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124502-1), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124502-5), *C, Soap","Temperature (RXW-GP4 21474793:21124502-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-8), *C, Soap","Temperature (RXW-GP4 21474793:21124506-6), *C, Soap","Water Content (RXW-GP4 21474793:21124506-4), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-9), *C, Soap","Temperature (RXW-GP4 21474793:21124506-5), *C, Soap","Water Content (RXW-GP4 21474793:21124506-1), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-2), m^3/m^3, Soap","Water Content (RXW-GP4 21474793:21124506-3), m^3/m^3, Soap","Temperature (RXW-GP4 21474793:21124506-7), *C, Soap","Temperature (RXW-GP4 21474793:21124506-10), *C, Soap","Temperature (RXW-GP4 21474793:21124506-11), *C, Soap"
204,01/10/24 08:45:00,0.413,7.5,0.472,7.0,2.5,0.340,5.2,0.392,4.0,1.7,6.0,0.390,6.1,0.311,6.6,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,2.0,0.408,0.602,0.637,4.2,6.8,7.5
205,01/10/24 08:50:00,0.413,7.5,0.472,6.8,2.5,0.340,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.310,6.6,1.3,7.5,2.6,0.290,0.337,4.1,5.0,2.0,6.5,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.000,0.0,2.0,0.408,0.602,0.000,4.2,0.0,0.0
206,01/10/24 08:55:00,0.413,7.5,0.472,6.8,2.6,0.340,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.310,6.6,1.3,7.5,2.6,0.290,0.337,4.1,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.1,0.639,6.0,2.0,0.408,0.602,0.637,4.3,7.0,7.5
207,01/10/24 09:00:00,0.413,7.5,0.472,6.8,2.6,0.340,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.309,6.6,1.3,7.5,2.7,0.290,0.335,4.1,5.1,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.6,4.2,5.5,3.0,0.639,6.0,1.8,0.407,0.602,0.637,4.2,7.0,7.5
208,01/10/24 09:05:00,0.413,7.5,0.472,6.8,2.5,0.340,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.308,6.6,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.8,0.407,0.602,0.000,4.2,0.0,0.0
209,01/10/24 09:10:00,0.413,7.5,0.472,6.8,2.5,0.340,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.307,6.6,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.8,0.407,0.602,0.000,4.2,0.0,0.0
210,01/10/24 09:15:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.307,6.6,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.6,4.2,5.5,3.0,0.000,0.0,1.8,0.407,0.602,0.000,4.2,0.0,0.0
211,01/10/24 09:20:00,0.413,7.5,0.472,6.8,2.5,0.339,5.2,0.392,4.0,1.7,6.0,0.390,6.1,0.307,6.6,1.3,7.5,2.7,0.290,0.335,4.1,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.6,4.2,5.5,3.0,0.000,0.0,1.8,0.407,0.602,0.000,4.2,0.0,0.0
212,01/10/24 09:25:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,3.8,1.7,6.0,0.390,6.1,0.307,6.6,1.3,7.5,2.7,0.290,0.337,4.1,5.0,2.0,6.3,5.3,0.278,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.8,0.407,0.602,0.637,4.2,7.0,7.5
213,01/10/24 09:30:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.307,6.5,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.8,0.406,0.602,0.637,4.2,7.0,7.5
214,01/10/24 09:35:00,0.413,7.5,0.472,6.8,2.5,0.339,5.2,0.390,4.0,1.7,6.0,0.390,6.1,0.307,6.5,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.5,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.8,0.406,0.602,0.637,4.2,6.8,7.5
215,01/10/24 09:40:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.307,6.6,1.3,7.5,2.7,0.290,0.335,4.0,5.1,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.8,0.406,0.602,0.637,4.2,6.8,7.5
216,01/10/24 09:45:00,0.413,7.5,0.472,6.8,2.6,0.339,5.2,0.390,4.0,1.7,6.0,0.390,6.1,0.306,6.6,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.278,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.1,0.000,0.0,1.8,0.406,0.602,0.000,4.2,0.0,0.0
217,01/10/24 09:50:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.306,6.6,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.1,0.639,6.0,1.8,0.406,0.602,0.637,4.2,6.8,7.5
218,01/10/24 09:55:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.306,6.6,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.8,0.406,0.602,0.637,4.2,6.8,7.5
219,01/10/24 10:00:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.306,6.5,1.3,7.5,2.7,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.406,0.601,0.637,4.2,6.8,7.5
220,01/10/24 10:05:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.306,6.5,1.3,7.5,2.7,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.8,0.405,0.601,0.000,4.2,0.0,0.0
221,01/10/24 10:10:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.0,0.306,6.6,1.3,7.5,2.6,0.290,0.335,4.1,5.1,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.000,0.0,1.8,0.405,0.601,0.000,4.2,0.0,0.0
222,01/10/24 10:15:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.306,6.6,1.3,7.5,2.6,0.290,0.337,4.1,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.8,0.405,0.601,0.000,4.2,0.0,0.0
223,01/10/24 10:20:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.305,6.6,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.8,0.405,0.601,0.637,4.2,6.8,7.5
224,01/10/24 10:25:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.305,6.6,1.3,7.5,2.7,0.290,0.335,4.1,5.1,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.7,0.405,0.601,0.637,4.2,7.0,7.5
225,01/10/24 10:30:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.305,6.6,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.7,0.405,0.601,0.000,4.2,0.0,0.0
226,01/10/24 10:35:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.305,6.6,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.405,0.601,0.637,4.2,6.8,7.5
227,01/10/24 10:40:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.305,6.5,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.7,0.404,0.601,0.000,4.3,0.0,0.0
228,01/10/24 10:45:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.305,6.5,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.8,0.404,0.601,0.637,4.2,7.0,7.5
229,01/10/24 10:50:00,0.413,7.5,0.472,7.0,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.305,6.5,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.1,0.278,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
230,01/10/24 10:55:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.304,6.6,1.3,7.5,2.6,0.290,0.335,4.0,5.0,1.8,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
231,01/10/24 11:00:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.304,6.5,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
232,01/10/24 11:05:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.304,6.5,1.3,7.5,2.6,0.290,0.335,4.1,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.8,0.404,0.601,0.637,4.2,6.8,7.5
233,01/10/24 11:10:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.304,6.6,1.3,7.5,2.6,0.290,0.337,4.0,5.1,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
234,01/10/24 11:15:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.304,6.5,1.3,7.5,2.6,0.290,0.337,4.1,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
235,01/10/24 11:20:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.304,6.6,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
236,01/10/24 11:25:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.303,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.404,0.601,0.637,4.2,6.8,7.5
237,01/10/24 11:30:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.303,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,1.8,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.7,0.403,0.601,0.000,4.2,0.0,0.0
238,01/10/24 11:35:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.6,6.0,0.390,6.1,0.303,6.5,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
239,01/10/24 11:40:00,0.413,7.3,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.303,6.6,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.278,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
240,01/10/24 11:45:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.303,6.5,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
241,01/10/24 11:50:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.303,6.6,1.3,7.5,2.6,0.290,0.337,4.1,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
242,01/10/24 11:55:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.6,6.0,0.390,6.1,0.302,6.5,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
243,01/10/24 12:00:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.302,6.5,1.3,7.5,2.6,0.290,0.337,4.1,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.7,0.403,0.601,0.000,4.2,0.0,0.0
244,01/10/24 12:05:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.302,6.5,1.3,7.5,2.7,0.290,0.335,4.1,5.0,2.0,6.5,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.000,0.0,1.6,0.403,0.601,0.000,4.2,0.0,0.0
245,01/10/24 12:10:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.302,6.6,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
246,01/10/24 12:15:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.302,6.6,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.6,0.403,0.601,0.637,4.2,6.8,7.5
247,01/10/24 12:20:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.302,6.6,1.3,7.5,2.7,0.290,0.335,4.0,5.0,1.8,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.7,0.403,0.601,0.637,4.2,6.8,7.5
248,01/10/24 12:25:00,0.413,7.5,0.472,6.8,2.5,0.339,5.2,0.390,4.0,1.6,6.0,0.390,6.1,0.302,6.6,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.7,0.402,0.601,0.637,4.2,6.8,7.5
249,01/10/24 12:30:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.301,6.5,1.3,7.5,2.6,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.403,0.601,0.000,4.2,0.0,0.0
250,01/10/24 12:35:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.301,6.6,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.601,0.000,4.2,0.0,0.0
251,01/10/24 12:40:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.0,0.301,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.3,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.601,0.000,4.2,0.0,0.0
252,01/10/24 12:45:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,3.8,1.6,6.0,0.390,6.1,0.301,6.5,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.2,6.8,7.5
253,01/10/24 12:50:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.301,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.2,6.8,7.5
254,01/10/24 12:55:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.301,6.5,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.601,0.000,4.2,0.0,0.0
255,01/10/24 13:00:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.301,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.2,6.8,7.5
256,01/10/24 13:05:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.0,0.301,6.5,1.3,7.5,2.7,0.290,0.335,4.0,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.601,0.000,4.2,0.0,0.0
257,01/10/24 13:10:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.300,6.5,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.7,0.402,0.601,0.637,4.2,6.8,7.5
258,01/10/24 13:15:00,0.413,7.5,0.472,6.8,2.6,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.0,0.300,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.5,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.2,6.8,7.5
259,01/10/24 13:20:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.0,0.300,6.5,1.3,7.5,2.7,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.1,6.8,7.5
260,01/10/24 13:25:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,3.8,1.7,6.0,0.390,6.1,0.300,6.5,1.3,7.5,2.6,0.290,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.601,0.000,4.2,0.0,0.0
261,01/10/24 13:30:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.300,6.6,1.3,7.5,2.6,0.290,0.337,4.0,5.0,1.8,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.601,0.000,4.2,0.0,0.0
262,01/10/24 13:35:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.0,0.300,6.5,1.3,7.5,2.6,0.291,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.2,6.8,7.5
263,01/10/24 13:40:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.299,6.5,1.3,7.5,2.6,0.291,0.337,4.0,5.0,2.0,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,3.0,0.639,6.0,1.6,0.402,0.601,0.637,4.1,6.8,7.5
264,01/10/24 13:45:00,0.413,7.3,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.0,0.299,6.5,1.3,7.5,2.6,0.291,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.601,0.637,4.2,6.8,7.5
265,01/10/24 13:50:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,3.8,1.7,6.0,0.390,6.1,0.299,6.5,1.3,7.5,2.7,0.291,0.337,4.0,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.639,6.0,1.6,0.402,0.600,0.637,4.1,6.8,7.5
266,01/10/24 13:55:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.390,3.8,1.7,6.0,0.390,6.0,0.298,6.5,1.3,7.5,2.6,0.291,0.337,4.0,5.0,1.8,6.3,5.1,0.277,2.8,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.6,0.402,0.600,0.000,4.2,0.0,0.0
267,01/10/24 14:00:00,0.413,7.5,0.472,6.8,2.5,0.339,5.1,0.392,4.0,1.7,6.0,0.390,6.1,0.298,6.5,1.3,7.5,2.7,0.291,0.337,4.0,5.0,2.0,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.5,2.8,0.639,6.0,1.6,0.402,0.600,0.637,4.2,6.8,7.5
268,01/10/24 14:05:00,0.413,7.5,0.472,6.8,2.5,0.338,5.1,0.390,4.0,1.6,6.0,0.390,6.0,0.297,6.5,1.3,7.5,2.7,0.291,0.337,4.0,5.0,1.8,6.3,5.1,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.7,0.402,0.600,0.000,4.2,0.0,0.0
269,01/10/24 14:10:00,0.413,7.5,0.472,6.8,2.5,0.338,5.1,0.390,4.0,1.7,6.0,0.390,6.1,0.297,6.5,1.3,7.5,2.7,0.291,0.337,4.0,5.0,2.0,6.3,5.3,0.277,3.0,0.160,7.0,0.340,0.216,1.5,4.2,5.3,2.8,0.000,0.0,1.6,0.402,0.600,0.000,4.2,0.0,0.0
